group_key,count,sample_actor_labels,source_folder_path,asset_path,actor_class_path,assembly_signature,render_part_count,total_render_part_count,source_actor_count,unsupported_component_count,unsupported_component_types,risk_flags,suggested_object_type_rid,suggested_object_type_name,hierarchy_path,classification_status,action,notes
assembly_signature:0068adeb80988ed1d76eb75306d390ed,1,Group2136670498,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Line2144964121.Line2144964121,/Script/Engine.Actor,0068adeb80988ed1d76eb75306d390ed,2,2,3,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:F72841EA44044929B166A0AD2B986867
assembly_signature:00d8451dc95a9615fde4eaa3f41de00b,1,Group2136669663,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Text228422013.Text228422013,/Script/Engine.Actor,00d8451dc95a9615fde4eaa3f41de00b,3,3,4,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:4F1D7C134E2D73288B564FA783D33F12
assembly_signature:0162e59667c48bf900434f70b1822622,1,613_XR,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Box2131642580_2.Box2131642580_2,/Script/Engine.Actor,0162e59667c48bf900434f70b1822622,6,6,7,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:D909D6894E8AF1CD1C1D0CA459956C46
assembly_signature:01a65d66788619df5d7485c534c0b458,1,Group-8261284-27-316,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-8261284-146-176.Obj3d66-8261284-146-176,/Script/Engine.Actor,01a65d66788619df5d7485c534c0b458,8,8,9,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:6A359ACE4B3E6F7B9E7023BED78871B9
assembly_signature:02157223c6934ecb30973e192632f3f6,1,1_4-033,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-10647471-28-539.Obj3d66-10647471-28-539,/Script/Engine.Actor,02157223c6934ecb30973e192632f3f6,43,43,50,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:C0EBBA164D5562AA4A07F787BD5AFC84
assembly_signature:0412f39d019376264558f417b59d3ceb,1,1_4-030,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-10647471-29-364.Obj3d66-10647471-29-364,/Script/Engine.Actor,0412f39d019376264558f417b59d3ceb,43,43,50,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:0D19C9B44ADB6FF6CDBF119537FE0761
assembly_signature:0419458ffe144209a032902f301963a4,1,Group2112605406,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/ChamferBox005.ChamferBox005,/Script/Engine.Actor,0419458ffe144209a032902f301963a4,3,3,4,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:7816C2084A5A55CCC4EC04A6DF5AF93F
assembly_signature:044ca98873e3425f3427f2e60c33c422,1,Group2136670321,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Rectangle2133400674.Rectangle2133400674,/Script/Engine.Actor,044ca98873e3425f3427f2e60c33c422,5,5,6,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:BE1A0DB54E954FE682D266B26360895A
assembly_signature:05036fdf2f6cd15822854ae711f84aa5,1,Group2112605289,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Shape65123280.Shape65123280,/Script/Engine.Actor,05036fdf2f6cd15822854ae711f84aa5,2,2,3,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:84FAB7784ED9BAFFC1F2329CED726622
assembly_signature:077e90e18914550c9431e051d2eb5f0e,1,Group2136669886,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-17935187-12-632.Obj3d66-17935187-12-632,/Script/Engine.Actor,077e90e18914550c9431e051d2eb5f0e,8,8,9,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:B3F0C7EC454AC45F9288DEA01F9AA04C
assembly_signature:08a5b2f459086d55b0a5e006b32ddc62,1,组2142381010,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Object10128940_2.Object10128940_2,/Script/Engine.Actor,08a5b2f459086d55b0a5e006b32ddc62,2,2,3,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:1AD6C3D54ED6424522A86D953A373802
assembly_signature:09e9af06b3ea19488c871f8ba345a9a4,1,Group2136670008,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Rectangle2133400436.Rectangle2133400436,/Script/Engine.Actor,09e9af06b3ea19488c871f8ba345a9a4,3,3,4,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:DEA448C2412DDBD657B63CABD55533EC
assembly_signature:0ad787d1a548fff828945e271008a370,1,Group2136670531,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Shape1622260084.Shape1622260084,/Script/Engine.Actor,0ad787d1a548fff828945e271008a370,2,2,3,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:094B7B874AE715D3D5A9FAB1936A1F53
assembly_signature:0b042142df1a83f38063ce0b2d9aebe1,1,3d66Group186,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/3d66-Editable_mesh-23797109-349.3d66-Editable_mesh-23797109-349,/Script/Engine.Actor,0b042142df1a83f38063ce0b2d9aebe1,2,2,3,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:C6577AA44470D661069290B5A58183F7
assembly_signature:0c113442b49b9d1880e121b07772c3e4,1,Group2136669691,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-16049182-114-357.Obj3d66-16049182-114-357,/Script/Engine.Actor,0c113442b49b9d1880e121b07772c3e4,130,130,134,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:C8BECA8B401327C787F25492FD195089
assembly_signature:0c70c718563a2b2af37399d4470568ee,1,Group2136669702,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-15645877-74-852.Obj3d66-15645877-74-852,/Script/Engine.Actor,0c70c718563a2b2af37399d4470568ee,3,3,4,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:3ABF3505491125364C85AF87F34CA45F
assembly_signature:0c8635d008328abc4d2deda41cb07b7c,1,航电/传感器/对抗设备-04,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Circle198713118.Circle198713118,/Script/Engine.Actor,0c8635d008328abc4d2deda41cb07b7c,2,2,3,0,,composite_assembly,zhhz.aircraft_model_equipment,航模设备,航模设备,confirmed,create_experimental,round4 reviewed group=actor:4B1B0417475F5AB92B7F25879F410A67
assembly_signature:0d4c5611e3a20777497bf7327f4805b1,1,Group2136670256,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/AVIC_0706/Geometries/obj_2054.obj_2054,/Script/Engine.Actor,0d4c5611e3a20777497bf7327f4805b1,7,7,8,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:F6C46FE34DE261837A01AB8FEC1D8A05
assembly_signature:0f7d61348b79e641b744900754f528b1,1,Group2136669784,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Shape65123407.Shape65123407,/Script/Engine.Actor,0f7d61348b79e641b744900754f528b1,2,2,3,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:2BB9454744C21152914808A1FA2923E0
assembly_signature:0fe42f5dd0800c48f97e465bb88962bc,1,Group2136670544,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Text228422401.Text228422401,/Script/Engine.Actor,0fe42f5dd0800c48f97e465bb88962bc,5,5,6,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:AD806929471468EAA5F955B8A267B462
assembly_signature:10f2d1b1666b7df80bb5d11b1ef7553d,1,SR023-01,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/profondeur001.profondeur001,/Script/Engine.Actor,10f2d1b1666b7df80bb5d11b1ef7553d,206,206,207,0,,composite_assembly,zhhz.aircraft_model_equipment,航模设备,航模设备,confirmed,create_experimental,round4 reviewed group=actor:BAEF52254BB6BED90ABF10B581F1DE1C
assembly_signature:117cd150f14f50aa2661d33ffcf8e910,1,Group2136669684,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-15645877-74-848.Obj3d66-15645877-74-848,/Script/Engine.Actor,117cd150f14f50aa2661d33ffcf8e910,3,3,4,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:88E879D0476EA309296F94AD4BD4BA66
assembly_signature:12aadd628737af9f8ec328d9f3b45b9a,1,Group2136670289,ToMigrateAuditRound4,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Text228422199.Text228422199,/Script/Engine.Actor,12aadd628737af9f8ec328d9f3b45b9a,4,4,5,0,,composite_assembly,zhhz.exhibit,展品,展品,confirmed,create_experimental,round4 reviewed group=actor:AAD3AF144C283A96DBB72F933866D827
