group_key,count,sample_actor_labels,source_folder_path,asset_path,actor_class_path,assembly_signature,render_part_count,total_render_part_count,source_actor_count,unsupported_component_count,unsupported_component_types,risk_flags,suggested_object_type_rid,suggested_object_type_name,hierarchy_path,classification_status,action,notes
assembly_signature:03e9da10cf441aabb603769ee850ade3,1,Cone340,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone340.Cone340,/Script/Engine.StaticMeshActor,03e9da10cf441aabb603769ee850ade3,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:070e9c93a02f82950beaee1e994f82bd,1,Cone273,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone273.Cone273,/Script/Engine.StaticMeshActor,070e9c93a02f82950beaee1e994f82bd,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:07e24cf79fcf836b6c6f934c45af6b58,1,3d66-Editable_Poly-23010744-320,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/3d66-Editable_Poly-23010744-320.3d66-Editable_Poly-23010744-320,/Script/Engine.StaticMeshActor,07e24cf79fcf836b6c6f934c45af6b58,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:0ba0308ff69ca356ee1ffc607fae8b23,1,Cone307,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone307.Cone307,/Script/Engine.StaticMeshActor,0ba0308ff69ca356ee1ffc607fae8b23,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:16ff69f5a5159ab4c69257eb7b6bb0ab,1,对象2417573,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/对象2417573.对象2417573,/Script/Engine.StaticMeshActor,16ff69f5a5159ab4c69257eb7b6bb0ab,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:17f9988b3a45488c1537a54dae83d58a,1,Cone339,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone339.Cone339,/Script/Engine.StaticMeshActor,17f9988b3a45488c1537a54dae83d58a,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:1a4353876341158dc1824f248b3e7bab,1,Cone331,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone331.Cone331,/Script/Engine.StaticMeshActor,1a4353876341158dc1824f248b3e7bab,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:1b2376437c523f49888a82bd3889840c,1,Cone320,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone320.Cone320,/Script/Engine.StaticMeshActor,1b2376437c523f49888a82bd3889840c,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:1c8212050a32331ff6b83215e7380bfa,1,Obj3d66-19714258-2-287,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-19714258-2-287.Obj3d66-19714258-2-287,/Script/Engine.StaticMeshActor,1c8212050a32331ff6b83215e7380bfa,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:214684269a18c2c784a98fe17427fd70,1,Cone154,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone154.Cone154,/Script/Engine.StaticMeshActor,214684269a18c2c784a98fe17427fd70,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
assembly_signature:25e228def7c1bc3b896078fea7e40aff,1,Cone159,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cone159.Cone159,/Script/Engine.StaticMeshActor,25e228def7c1bc3b896078fea7e40aff,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 revised: explicit actors plus Cone; Cylinder roots excluded
