group_key,count,sample_actor_labels,source_folder_path,asset_path,actor_class_path,assembly_signature,render_part_count,total_render_part_count,source_actor_count,unsupported_component_count,unsupported_component_types,risk_flags,suggested_object_type_rid,suggested_object_type_name,hierarchy_path,classification_status,action,notes
assembly_signature:0027c38e25298ebf9daeb26a3d6fda9e,1,Cylinder32239022,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32239022.Cylinder32239022,/Script/Engine.StaticMeshActor,0027c38e25298ebf9daeb26a3d6fda9e,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:002b2678de6c9a68a6c356493bd3eb97,1,Cylinder32239168,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32239168.Cylinder32239168,/Script/Engine.StaticMeshActor,002b2678de6c9a68a6c356493bd3eb97,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:003052b32196a7795cf4b12668fa840e,1,Cylinder32241522,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32241522.Cylinder32241522,/Script/Engine.StaticMeshActor,003052b32196a7795cf4b12668fa840e,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:003e8cd7a449ae6892db5502e6dd506a,1,Cylinder32237686,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32237686.Cylinder32237686,/Script/Engine.StaticMeshActor,003e8cd7a449ae6892db5502e6dd506a,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:004331e9fda3e37b0a27292fffb18d58,1,Cylinder32240885,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32240885.Cylinder32240885,/Script/Engine.StaticMeshActor,004331e9fda3e37b0a27292fffb18d58,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:0051d8099bdb4d919eda576881c642ff,1,Cylinder32241165,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32241165.Cylinder32241165,/Script/Engine.StaticMeshActor,0051d8099bdb4d919eda576881c642ff,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:0061ee5f8818509239ef84c0770cd42c,1,Cylinder32237434,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32237434.Cylinder32237434,/Script/Engine.StaticMeshActor,0061ee5f8818509239ef84c0770cd42c,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:006820f0bf44f9c8915228a322064e96,1,Cylinder32238761,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32238761.Cylinder32238761,/Script/Engine.StaticMeshActor,006820f0bf44f9c8915228a322064e96,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:006dbb6553a7096aeb9af246c399b246,1,Cylinder32237856,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32237856.Cylinder32237856,/Script/Engine.StaticMeshActor,006dbb6553a7096aeb9af246c399b246,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
assembly_signature:0071e9f400b56aa2dc9831fff09bd53c,1,Cylinder32238467,ToMigrateAuditRound5Support,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Cylinder32238467.Cylinder32238467,/Script/Engine.StaticMeshActor,0071e9f400b56aa2dc9831fff09bd53c,1,1,1,0,,,zhhz.support,支撑,航空展馆/支撑,confirmed,create_experimental,round5 explicit support + all Cone/Cylinder
