group_key,count,sample_actor_labels,source_folder_path,asset_path,actor_class_path,assembly_signature,render_part_count,total_render_part_count,source_actor_count,unsupported_component_count,unsupported_component_types,risk_flags,suggested_object_type_rid,suggested_object_type_name,hierarchy_path,classification_status,action,notes
assembly_signature:58f99a871a886907547e79556d5f0c09,1,3d66Group001,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/3d66-Editable_mesh-27756612-033.3d66-Editable_mesh-27756612-033,/Script/Engine.Actor,58f99a871a886907547e79556d5f0c09,48,48,49,0,,composite_assembly,zhhz.aircraft_model_equipment.model_d009e8fb6095b5ee,航模设备 AME-02（3d66Group001）,航空展馆/航模设备,confirmed,create_experimental,round3 user-named model=AME-02; reviewed_model_signature=d009e8fb6095b5eec3298be2a00fef84499963c3440016336f9e25d345aa557a
assembly_signature:85905f308bf083e9d734131ebc5327df,1,3d66Group001_2,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/3d66-Editable_mesh-22275079-018.3d66-Editable_mesh-22275079-018,/Script/Engine.Actor,85905f308bf083e9d734131ebc5327df,68,68,69,0,,composite_assembly,zhhz.aircraft_model_equipment.model_d41400282c3b2ce0,航模设备 AME-07（3d66Group001_2）,航空展馆/航模设备,confirmed,create_experimental,round3 user-named model=AME-07; reviewed_model_signature=d41400282c3b2ce02425e86e7b4fb3a5ae143bb46121596e3e0239c80c08aafb
assembly_signature:f7a7b34d94a48bc58100006f544175c5,1,400T,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/3d66-Editable_Poly-22333607-001.3d66-Editable_Poly-22333607-001,/Script/Engine.Actor,f7a7b34d94a48bc58100006f544175c5,1,1,2,0,,,zhhz.aircraft_model_equipment.model_ffe19151fd044282,航模设备 AME-13（400T）,航空展馆/航模设备,confirmed,create_experimental,round3 user-named model=AME-13; reviewed_model_signature=ffe19151fd0442824786bcf8ce38e75cc7dd5bfce2da2607bfa91981068976a6
assembly_signature:70b766c13d583088eb26f826ccfba20a,1,450,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/3d66-Editable_Poly-30130123-002.3d66-Editable_Poly-30130123-002,/Script/Engine.Actor,70b766c13d583088eb26f826ccfba20a,1,1,2,0,,,zhhz.aircraft_model_equipment.model_734cc84dc7f4b0b3,航模设备 AME-10（450）,航空展馆/航模设备,confirmed,create_experimental,round3 user-named model=AME-10; reviewed_model_signature=734cc84dc7f4b0b30839f4d3cf6a3e66e8e0ffd1471b6b6e47e1143d6c1582a2
assembly_signature:a5a32b3c775557d30636366c40ffb211,1,5000T,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Line2144963855.Line2144963855,/Script/Engine.Actor,a5a32b3c775557d30636366c40ffb211,1,1,2,0,,,zhhz.aircraft_model_equipment.model_88edfba25fa5ebbb,航模设备 AME-11（5000T）,航空展馆/航模设备,confirmed,create_experimental,round3 user-named model=AME-11; reviewed_model_signature=88edfba25fa5ebbb2c05d25b7254c35bb1e89fa893888aed0099ca114b7b619b
assembly_signature:8471af1352c63949ce52882fdc7c8a36,1,580T,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Line2144964108.Line2144964108,/Script/Engine.Actor,8471af1352c63949ce52882fdc7c8a36,1,1,2,0,,,zhhz.aircraft_model_equipment.model_d504e208f13289f6,航模设备 AME-12（580T）,航空展馆/航模设备,confirmed,create_experimental,round3 user-named model=AME-12; reviewed_model_signature=d504e208f13289f6cdee82ba18892c4a8533d790c68a0a1b458da88ecf263ff7
assembly_signature:55ff1fd04312f4ef5cb556679afb51e9,1,CM100,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-17982932-3-801.Obj3d66-17982932-3-801,/Script/Engine.Actor,55ff1fd04312f4ef5cb556679afb51e9,3,3,4,0,,composite_assembly,zhhz.aircraft_model_equipment.model_41ea398b3086fcb0,航模设备 AME-08（CM100）,航空展馆/航模设备,confirmed,create_experimental,round3 user-named model=AME-08; reviewed_model_signature=41ea398b3086fcb088167ad31c53c58619d3cc310d3e594f8e5ef4c85c7b96ac
assembly_signature:ae0618c9ca697858d9060807ff298dd3,1,Group2136667786,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/对象2417957.对象2417957,/Script/Engine.Actor,ae0618c9ca697858d9060807ff298dd3,17,17,18,0,,composite_assembly,zhhz.aircraft_model_equipment.model_e4d1d0303f98750d,航模设备 AME-15（Group2136667786）,航空展馆/航模设备,confirmed,create_experimental,round3 user-named model=AME-15; reviewed_model_signature=e4d1d0303f98750dc7214aa603108c69bd0d99f20733b9c6685ed60aaf2dd76d
assembly_signature:847c3f627fc4a81c0e77c3288968c536,1,Group2136670272,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Box2131643392.Box2131643392,/Script/Engine.Actor,847c3f627fc4a81c0e77c3288968c536,46,46,47,0,,composite_assembly,zhhz.aircraft_model_equipment.model_7e2c7360ce4b000b,航模设备 AME-14（0272/0331 同型）,航空展馆/航模设备,confirmed,create_experimental,round3 user-named model=AME-14; reviewed_model_signature=7e2c7360ce4b000bed6fdc74ea2164e70ef5db54f070b0f6ceada72a0f179a60
assembly_signature:9fe4fa16e84a9d209d0d3499dfa8e5ce,1,Group2136670331,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Box2131643425.Box2131643425,/Script/Engine.Actor,9fe4fa16e84a9d209d0d3499dfa8e5ce,46,46,47,0,,composite_assembly,zhhz.aircraft_model_equipment.model_7e2c7360ce4b000b,航模设备 AME-14（0272/0331 同型）,航空展馆/航模设备,confirmed,create_experimental,round3 user-named model=AME-14; reviewed_model_signature=7e2c7360ce4b000bed6fdc74ea2164e70ef5db54f070b0f6ceada72a0f179a60
