handle,label,exclude_reason
584016,3d66Group007,floor_package_30914087
584020,3d66Group008,floor_package_30914087
584024,3d66Group009,floor_package_30914087
584028,3d66Group010,floor_package_30914087
584029,3d66Group011,floor_package_30914087
584033,3d66Group012,floor_package_30914087
584037,3d66Group013,floor_package_30914087
584038,3d66Group014,floor_package_30914087
584237,3d66Group089,floor_package_30914087
584240,3d66Group090,floor_package_30914087
584244,3d66Group091,floor_package_30914087
584248,3d66Group092,floor_package_30914087
584252,3d66Group093,floor_package_30914087
584256,3d66Group094,floor_package_30914087
584260,3d66Group095,floor_package_30914087
584264,3d66Group096,floor_package_30914087
584267,3d66Group097,floor_package_30914087
584270,3d66Group098,floor_package_30914087
584274,3d66Group099,floor_package_30914087
584278,3d66Group100,floor_package_30914087
584281,3d66Group101,floor_package_30914087
584284,3d66Group102,floor_package_30914087
584288,3d66Group103,floor_package_30914087
584291,3d66Group104,floor_package_30914087
584295,3d66Group105,floor_package_30914087
584299,3d66Group106,floor_package_30914087
584303,3d66Group107,floor_package_30914087
584304,3d66Group108,floor_package_30914087
584308,3d66Group109,floor_package_30914087
584312,3d66Group110,floor_package_30914087
584313,3d66Group111,floor_package_30914087
584512,3d66Group186,floor_package_30914087
584515,3d66Group187,floor_package_30914087
584519,3d66Group188,floor_package_30914087
584523,3d66Group189,floor_package_30914087
584527,3d66Group190,floor_package_30914087
584531,3d66Group191,floor_package_30914087
584535,3d66Group192,floor_package_30914087
584536,3d66Group193,floor_package_30914087
584540,3d66Group194,floor_package_30914087
584544,3d66Group195,floor_package_30914087
584545,3d66Group196,floor_package_30914087
584549,3d66Group197,floor_package_30914087
584575,3d66Group198,floor_package_30914087
109672,通航综合,exhibit_fixture_8631029
452620,通航综合002,exhibit_fixture_8631029
458332,通航综合004,exhibit_fixture_8631029
463188,通航综合009,exhibit_fixture_8631029
109675,Group2136668064,exhibit_fixture_8631029_child
109681,Group2136668552,exhibit_fixture_8631029_child
458310,Group2136670380,exhibit_fixture_8631029_child
458311,Group2136670381,exhibit_fixture_8631029_child
463166,Group2136670400,exhibit_fixture_8631029_child
463167,Group2136670401,exhibit_fixture_8631029_child
150640,直升机六角,decorative_star_mesh
156648,DOOR-008,scene_prop_door
179592,DOOR-009,scene_prop_door
179597,DOOR-010,scene_prop_door
181129,DOOR-012,scene_prop_door
181134,DOOR-013,scene_prop_door
181895,DOOR-014,scene_prop_door
36580,国旗司旗001,scene_prop_label
104236,报国强国,scene_prop_label
145894,层板架,scene_prop_label
151653,F2-West_Top,scene_prop_label
155710,10-8墙面,scene_prop_label
156520,大二层,scene_prop_label
156521,小二层,scene_prop_label
158453,层板架002,scene_prop_label
158505,层板架004,scene_prop_label
159935,媒体发布_2_DING,scene_prop_label
317355,入洞,scene_prop_label
666840,复材院展品柜,scene_prop_label
36568,Group2112605482,scene_prop_child
36569,Group2112605483,scene_prop_child
36570,Group2112605484,scene_prop_child
113038,Group2136668772,scene_prop_child
156649,Group2136669758,scene_prop_child
179593,Group2136669954,scene_prop_child
179598,Group2136669955,scene_prop_child
181130,Group2136669958,scene_prop_child
181896,Group2136669960,scene_prop_child
666064,Group2136670556,scene_prop_child
