handle,label,business_type,selection_source
38265,ZB__K-8,fixed_wing_aircraft,candidate
69533,KJ-500,fixed_wing_aircraft,candidate
75870,Y-9E,fixed_wing_aircraft,candidate
101498,Y-9雷达干扰,fixed_wing_aircraft,candidate
102922,Y-9反潜巡逻,fixed_wing_aircraft,candidate
121818,空天飞机那玩意,fixed_wing_aircraft,candidate
130203,KJ-500H,fixed_wing_aircraft,candidate
138347,SF50,fixed_wing_aircraft,candidate
139023,MA700,fixed_wing_aircraft,candidate
139352,运-20F100,fixed_wing_aircraft,candidate
151186,YR20A,fixed_wing_aircraft,candidate
152877,Kj-511,fixed_wing_aircraft,candidate
200309,Y-12F_消防,fixed_wing_aircraft,candidate
212066,607-J20,fixed_wing_aircraft,candidate
231401,KJ-600,fixed_wing_aircraft,candidate
257865,教-7,fixed_wing_aircraft,candidate
345334,J-15T,fixed_wing_aircraft,candidate
393984,H6J,fixed_wing_aircraft,candidate
393985,H6K,fixed_wing_aircraft,candidate
393986,Y-9电子侦察,fixed_wing_aircraft,candidate
400224,JH-7E,fixed_wing_aircraft,candidate
413340,双模态战斗机,fixed_wing_aircraft,candidate
458506,Y-12E008,fixed_wing_aircraft,candidate
462376,J-20S,fixed_wing_aircraft,candidate
517545,J-15T001,fixed_wing_aircraft,candidate
534827,J-16,fixed_wing_aircraft,candidate
542656,J-20,fixed_wing_aircraft,candidate
543480,J-15T002,fixed_wing_aircraft,candidate
544012,J-10CE001,fixed_wing_aircraft,candidate
609270,J-021,fixed_wing_aircraft,candidate
609687,J-10CE003,fixed_wing_aircraft,candidate
609824,KJ-602,fixed_wing_aircraft,candidate
635346,J-022,fixed_wing_aircraft,candidate
636956,Y-20B,fixed_wing_aircraft,candidate
1671,Z-19,rotorcraft,candidate
69551,Z-8C,rotorcraft,candidate
101533,Z-20,rotorcraft,candidate
101798,Z-18F,rotorcraft,candidate
111943,Z-20J,rotorcraft,candidate
139475,AC519,rotorcraft,candidate
139535,AC312E,rotorcraft,candidate
142441,AC332,rotorcraft,candidate
384527,Z-11EB,rotorcraft,candidate
393998,Z-20T,rotorcraft,candidate
394001,Z-20F,rotorcraft,candidate
487098,Z-9WE,rotorcraft,candidate
487937,Z-9ME,rotorcraft,candidate
487955,Z-9ME001,rotorcraft,candidate
581058,AC523,rotorcraft,candidate
619785,Z-9ME002,rotorcraft,candidate
77068,WZ-7,unmanned_new_aircraft,candidate
131162,WL-2D,unmanned_new_aircraft,candidate
156870,WZ-8,unmanned_new_aircraft,candidate
161739,AR-E300A,unmanned_new_aircraft,candidate
196480,AS700浮空器_,unmanned_new_aircraft,candidate
198028,氢能源无人机,unmanned_new_aircraft,candidate
260170,九天_多用途无人母鸡_,unmanned_new_aircraft,candidate
382149,GJ-11X,unmanned_new_aircraft,candidate
414391,WL-10A,unmanned_new_aircraft,candidate
414430,WL-6,unmanned_new_aircraft,candidate
482371,WL-10B001,unmanned_new_aircraft,candidate
486932,WL-1G_重油）,unmanned_new_aircraft,candidate
565799,WL-3_X_001,unmanned_new_aircraft,candidate
581050,XG-E800,unmanned_new_aircraft,candidate
582612,鹮影60,unmanned_new_aircraft,candidate
608334,WL-3_X_002,unmanned_new_aircraft,candidate
612860,HH-100,unmanned_new_aircraft,candidate
27827,SD-10A,aviation_weapon,candidate
31200,SD-30,aviation_weapon,candidate
38189,TY-20R,aviation_weapon,candidate
102504,SD-100,aviation_weapon,candidate
112958,LD-15-25,aviation_weapon,candidate
156873,LD-15-25,aviation_weapon,candidate
