ext_guid,actor_label,datasmith_handle,selection_source,business_type,business_type_name,object_type_rid,hierarchy_path,source_actor_count,render_part_count,mirrored_source_actor_count,assembly_signature,ue_path
2127B1B4-4976-8542-FBF2-CA9C5E1F9EE8,4M_螺旋桨,579859,candidate,aircraft_component,航空部件/子系统,zhhz.aircraft_component,航空展馆/航空部件与子系统,3,2,0,f52e24ef007d6e8b7def3725e243bf83,0713/4M_螺旋桨
1AB84361-4A8E-3DE8-AA8B-479082382902,607-J20,212066,candidate,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,196,195,0,4d7a24bf6c98fd424f685b59cc961676,0713/607-J20
C66D5826-4A19-BC2B-C7EF-1DA6560434DF,919机轮组件001,241221,candidate,aircraft_component,航空部件/子系统,zhhz.aircraft_component,航空展馆/航空部件与子系统,3,2,0,f86f057dc45663920b025bcfa1a123e9,0713/919机轮组件001
0049110A-4DEA-DA8C-DA57-1C8BAB522EEE,AC312E,139535,candidate,rotorcraft,旋翼航空器,zhhz.rotorcraft,航空展馆/旋翼航空器,18,17,0,0c60393befdb76617bcec7a54cca987e,0713/AC312E
F5239384-4378-1211-0679-B6956A7623B6,AC332,142441,candidate,rotorcraft,旋翼航空器,zhhz.rotorcraft,航空展馆/旋翼航空器,35,34,10,5c27d1a6e213a107d9353427214f43cd,0713/AC332
63AF742C-4AAA-3E35-C6FB-D68C531A162B,AC519,139475,candidate,rotorcraft,旋翼航空器,zhhz.rotorcraft,航空展馆/旋翼航空器,5,4,1,998617590e857106a7bfb8ce735d0063,0713/AC519
DDD7D25F-4674-4536-CDC5-758F186A6F09,AC523,581058,candidate,rotorcraft,旋翼航空器,zhhz.rotorcraft,航空展馆/旋翼航空器,5,4,1,491ef1e5aae40dccc84bf5fc9a46ca47,0713/AC523
65B8E0E1-42FE-E500-DBB8-78B14499EFB0,AC_313_A002,142505,supplemental,rotorcraft,旋翼航空器,zhhz.rotorcraft,航空展馆/旋翼航空器,67,59,20,504eb09cdcac0dc6d9ad5c24d8d4c19f,0713/AC_313_A002
7A8360DF-44FE-BEDE-1C5E-BA822BC03C5B,AR-E300A,161739,candidate,unmanned_new_aircraft,无人/新型航空器,zhhz.unmanned_new_aircraft,航空展馆/无人及新型航空器,8,7,0,b87f261f0d14723bf5af1ef969cd3859,0713/AR-E300A
B2136A01-4926-299A-3322-F5A68CE8A0A5,AR-E800_电动垂直起降飞行器,161675,supplemental,unmanned_new_aircraft,无人/新型航空器,zhhz.unmanned_new_aircraft,航空展馆/无人及新型航空器,16,12,0,e5d72e2f0fa5daa5fef6fa609e38eddd,0713/AR-E800_电动垂直起降飞行器
EA7AC010-49AA-DC87-F645-60BF95C30D37,AR500C002,100877,supplemental,unmanned_new_aircraft,无人/新型航空器,zhhz.unmanned_new_aircraft,航空展馆/无人及新型航空器,33,24,0,426f8ceb58fc3d8beb74e996eefffee6,0713/AR500C002
481BC3F6-4D2A-3013-C9FF-2A83FC80B0E4,AS700浮空器_,196480,candidate,unmanned_new_aircraft,无人/新型航空器,zhhz.unmanned_new_aircraft,航空展馆/无人及新型航空器,24,23,10,e233cd03e85f81ede40a765fdb84db19,0713/AS700浮空器_
13CD007F-434D-CAEE-B6D1-C9ADAE3ACDD9,GJ-11X,382149,candidate,unmanned_new_aircraft,无人/新型航空器,zhhz.unmanned_new_aircraft,航空展馆/无人及新型航空器,13,12,0,a36458ef3b6929941804a2751d5ca7b2,0713/GJ-11X
5EA824B0-4902-268A-2B63-32BE0FB9CACC,H6J,393984,candidate,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,2,1,0,250d083e92890bfa0ff6e7217a704724,0713/H6J
5A65B527-442D-DA98-8016-9AB9AFC36C4F,H6K,393985,candidate,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,2,1,0,9652abd5040da5ce89638c37f58edc7d,0713/H6K
7F295F6E-4129-E35A-598F-82A83B5E48AC,HH-100,612860,candidate,unmanned_new_aircraft,无人/新型航空器,zhhz.unmanned_new_aircraft,航空展馆/无人及新型航空器,108,107,0,012ef1a79b70e47e263d3980de1fef7c,0713/HH-100
24424CC2-4BE9-8F50-150B-28BE26254D96,J-021,609270,candidate,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,18,15,5,31eb96249fd4d71c739b95d0a070d4be,0713/J-021
178F1379-440F-DD74-4BB2-60B1FADBDE11,J-022,635346,candidate,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,18,15,5,84fda6bfe8ebb48aa944ceb415bae03b,0713/J-022
E6A89B8B-4A85-E22B-2ECE-61A0509D126F,J-10CE001,544012,candidate,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,416,223,0,114f5e8cf3b51e36edd1e6cd4eb080b3,0713/J-10CE001
766E06A9-4D0C-49CE-FCF2-B596D4F412F7,J-10CE003,609687,candidate,fixed_wing_aircraft,固定翼航空器,zhhz.fixed_wing_aircraft,航空展馆/固定翼航空器,417,224,0,d3e76e201e633c7c78627b13b918b991,0713/J-10CE003
