handle,label,business_type,selection_source,ue_guid,ue_scene_root,ue_path
38265,ZB__K-8,fixed_wing_aircraft,candidate,359757BC444A751A2FBE0C85FC750553,0713,0713/ZB__K-8
69533,KJ-500,fixed_wing_aircraft,candidate,DCBA5A1B4B763B92EAA547B74571479E,0713,0713/KJ-500
75870,Y-9E,fixed_wing_aircraft,candidate,620E56C24285A997F99C90822E649379,0713,0713/Y-9E
101498,Y-9雷达干扰,fixed_wing_aircraft,candidate,58C0A7A646983466B014EDB8EF163C7D,0713,0713/Y-9雷达干扰
102922,Y-9反潜巡逻,fixed_wing_aircraft,candidate,36D357AE46FA1408D9E9198B2C13ABA1,0713,0713/Y-9反潜巡逻
121818,空天飞机那玩意,fixed_wing_aircraft,candidate,A65FEE4E4A242520473205BC602D963B,0713,0713/空天飞机那玩意
130203,KJ-500H,fixed_wing_aircraft,candidate,20FCB3D148F9DBA8D0F07FA8F9A9BE76,0713,0713/KJ-500H
138347,SF50,fixed_wing_aircraft,candidate,D2FEB4864A9BAA275AE634BCEA7DE66E,0713,0713/SF50
139023,MA700,fixed_wing_aircraft,candidate,29218C27450BD0F6A204D1B1B2ECF7C9,0713,0713/MA700
139352,运-20F100,fixed_wing_aircraft,candidate,E75E02A44760D7CA7C704DAFBB1FCA58,0713,0713/运-20F100
151186,YR20A,fixed_wing_aircraft,candidate,33E723024496671F22D69EB794BD97CB,0713,0713/YR20A
152877,Kj-511,fixed_wing_aircraft,candidate,5564B45E49B6FB7E8701BAA140C61AD9,0713,0713/Kj-511
200309,Y-12F_消防,fixed_wing_aircraft,candidate,E41A2DA34C8D70D1FB17F190D72EFA87,0713,0713/Y-12F_消防
212066,607-J20,fixed_wing_aircraft,candidate,1AB843614A8E3DE8AA8B479082382902,0713,0713/607-J20
231401,KJ-600,fixed_wing_aircraft,candidate,2F49ACDC4E94DA7BBECE7DBC779C1AAE,0713,0713/KJ-600
257865,教-7,fixed_wing_aircraft,candidate,A2AE29A34BF29D851F3A4D85A0104110,0713,0713/教-7
345334,J-15T,fixed_wing_aircraft,candidate,8555518347B72EB044C515A2E5EE8EF7,0713,0713/J-15T
393984,H6J,fixed_wing_aircraft,candidate,5EA824B04902268A2B6332BE0FB9CACC,0713,0713/H6J
393985,H6K,fixed_wing_aircraft,candidate,5A65B527442DDA9880169AB9AFC36C4F,0713,0713/H6K
393986,Y-9电子侦察,fixed_wing_aircraft,candidate,1F9E1FE040DB0E2DB55942A064E0AC10,0713,0713/Y-9电子侦察
400224,JH-7E,fixed_wing_aircraft,candidate,E1D6E79044B51B5F1548B88F0CB9ADD1,0713,0713/JH-7E
413340,双模态战斗机,fixed_wing_aircraft,candidate,B5A626E14A262D706CB25BBAC33B261B,0713,0713/双模态战斗机
458506,Y-12E008,fixed_wing_aircraft,candidate,C5C92FAF468598C27B5C779EBC1098C2,0713,0713/Y-12E008
462376,J-20S,fixed_wing_aircraft,candidate,22C257634BC16E20B5A8659129D7A751,0713,0713/J-20S
517545,J-15T001,fixed_wing_aircraft,candidate,741C057340D0939CF7ED2EBFDD010D44,0713,0713/J-15T001
534827,J-16,fixed_wing_aircraft,candidate,12DF90854C55EFBB7CEE83A27DD6C9C9,0713,0713/J-16
543480,J-15T002,fixed_wing_aircraft,candidate,81809CE1479E8DD60AB292853045DB01,0713,0713/J-15T002
544012,J-10CE001,fixed_wing_aircraft,candidate,E6A89B8B4A85E22B2ECE61A0509D126F,0713,0713/J-10CE001
609270,J-021,fixed_wing_aircraft,candidate,24424CC24BE98F50150B28BE26254D96,0713,0713/J-021
609687,J-10CE003,fixed_wing_aircraft,candidate,766E06A94D0C49CEFCF2B596D4F412F7,0713,0713/J-10CE003
609824,KJ-602,fixed_wing_aircraft,candidate,7D64B4B24D6C421E5997269D0C7115E5,0713,0713/KJ-602
635346,J-022,fixed_wing_aircraft,candidate,178F1379440FDD744BB260B1FADBDE11,0713,0713/J-022
636956,Y-20B,fixed_wing_aircraft,candidate,118332264FDA5A95E6792CBF2B6EFED1,0713,0713/Y-20B
1671,Z-19,rotorcraft,candidate,ADD88FD5428AF0AFA79778BC4713FD06,0713,0713/Z-19
69551,Z-8C,rotorcraft,candidate,EBA35AB34C66E4CAF8D55DBF4ECF918E,0713,0713/Z-8C
101533,Z-20,rotorcraft,candidate,C82F15034B037C709B5A79B144168CC1,0713,0713/Z-20
101798,Z-18F,rotorcraft,candidate,A59024394E24F3C15C939F8A2F08CC18,0713,0713/Z-18F
111943,Z-20J,rotorcraft,candidate,0F07F4224CB52DD7A46FB8A8564A6B02,0713,0713/Z-20J
139475,AC519,rotorcraft,candidate,63AF742C4AAA3E35C6FBD68C531A162B,0713,0713/AC519
139535,AC312E,rotorcraft,candidate,0049110A4DEADA8CDA571C8BAB522EEE,0713,0713/AC312E
142441,AC332,rotorcraft,candidate,F5239384437812110679B6956A7623B6,0713,0713/AC332
384527,Z-11EB,rotorcraft,candidate,4D41B4D84D82E3785FAE93A4AC1C2250,0713,0713/Z-11EB
393998,Z-20T,rotorcraft,candidate,2A8C092847E7E3F972644B9484D0DF85,0713,0713/Z-20T
394001,Z-20F,rotorcraft,candidate,BADFFEA048C0AC86F22B1B8406BED1EC,0713,0713/Z-20F
487098,Z-9WE,rotorcraft,candidate,E5CF577446F9BAE4D23023BE7533AA43,0713,0713/Z-9WE
487937,Z-9ME,rotorcraft,candidate,0F41E1E943B0971F18FABAB96376DD80,0713,0713/Z-9ME
487955,Z-9ME001,rotorcraft,candidate,6E10A17349160F5E4CFDC69D4126E896,0713,0713/Z-9ME001
581058,AC523,rotorcraft,candidate,DDD7D25F46744536CDC5758F186A6F09,0713,0713/AC523
619785,Z-9ME002,rotorcraft,candidate,9BB5EA904E1A3A3E7F3F6B988A2CF83E,0713,0713/Z-9ME002
77068,WZ-7,unmanned_new_aircraft,candidate,E716E99E46529E80410C8796E836D389,0713,0713/WZ-7
131162,WL-2D,unmanned_new_aircraft,candidate,AFF969C341021DEA59CE5D9C8DA6C88C,0713,0713/WL-2D
156870,WZ-8,unmanned_new_aircraft,candidate,9FE2DB0B433BC2D89D58D999D042E782,0713,0713/WZ-8
161739,AR-E300A,unmanned_new_aircraft,candidate,7A8360DF44FEBEDE1C5EBA822BC03C5B,0713,0713/AR-E300A
196480,AS700浮空器_,unmanned_new_aircraft,candidate,481BC3F64D2A3013C9FF2A83FC80B0E4,0713,0713/AS700浮空器_
198028,氢能源无人机,unmanned_new_aircraft,candidate,A4F26D5C40782DA75F60358AB0FB28FD,0713,0713/氢能源无人机
260170,九天_多用途无人母鸡_,unmanned_new_aircraft,candidate,83A918FF496BEC80DD4ACCA371AF2D17,0713,0713/九天_多用途无人母鸡_
382149,GJ-11X,unmanned_new_aircraft,candidate,13CD007F434DCAEEB6D1C9ADAE3ACDD9,0713,0713/GJ-11X
414391,WL-10A,unmanned_new_aircraft,candidate,017784D44B2A4BDDF0FB50B73C6BF196,0713,0713/WL-10A
414430,WL-6,unmanned_new_aircraft,candidate,4258FC864599F28C835BB1B9ADEBD778,0713,0713/WL-6
482371,WL-10B001,unmanned_new_aircraft,candidate,D782834949E474B626F76F97FC1009AE,0713,0713/WL-10B001
486932,WL-1G_重油）,unmanned_new_aircraft,candidate,B6D15FFB4072063ACCBFDEB8A7D6687A,0713,0713/WL-1G_重油）
565799,WL-3_X_001,unmanned_new_aircraft,candidate,486ECDC347F6B5AC9D052C874DCD3312,0713,0713/WL-3_X_001
581050,XG-E800,unmanned_new_aircraft,candidate,CC8707704026C894E498FEAC062590A4,0713,0713/XG-E800
582612,鹮影60,unmanned_new_aircraft,candidate,5708AB1D4E7DDD4DF3B25086B38E6FB7,0713,0713/鹮影60
608334,WL-3_X_002,unmanned_new_aircraft,candidate,7158170842459E29CC48D986A41811B0,0713,0713/WL-3_X_002
612860,HH-100,unmanned_new_aircraft,candidate,7F295F6E4129E35A598F82A83B5E48AC,0713,0713/HH-100
27827,SD-10A,aviation_weapon,candidate,C654EB734B1A9C9B33413A9CD831F725,0713,0713/SD-10A
31200,SD-30,aviation_weapon,candidate,C3F75B82493587DD8CC0DC85AA22B4EE,0713,0713/SD-30
38189,TY-20R,aviation_weapon,candidate,AA70835443A9D881601BC297CB86A51D,0713,0713/TY-20R
102504,SD-100,aviation_weapon,candidate,349F16F94C65324450E6D88C2E19E0F2,0713,0713/SD-100
112958,LD-15-25,aviation_weapon,candidate,0216EFE248C61BDC71BCD89A1F6EC2A9,0713,0713/LD-15-25
156962,LD-15-10,aviation_weapon,candidate,3C72983D47A07BBCA2CEE09B80B3605C,0713,0713/LD-15-10
156974,LD-15-5,aviation_weapon,candidate,0279A56E4194774E9698A5948426923C,0713,0713/LD-15-5
231407,LD-15-052,aviation_weapon,candidate,DF0935D6494B96361E7E9EBC5BB0CDE5,0713,0713/LD-15-052
407842,SD-100X,aviation_weapon,candidate,52F91A0342F0408B10FCF0B45B448F8E,0713,0713/SD-100X
410185,PL-15E,aviation_weapon,candidate,DC8932754389112D1D966D9270C973E6,0713,0713/PL-15E
415234,LS-6-518,aviation_weapon,candidate,52C7371D43EA35DBB44D91A691716218,0713,0713/LS-6-518
445155,LD-8A001,aviation_weapon,candidate,E50C2FAD44750001C645E0A219E7D815,0713,0713/LD-8A001
445164,PL-10E001,aviation_weapon,candidate,905F049F4373E4B885DC8D95A1626CE5,0713,0713/PL-10E001
445165,PL-12AE001,aviation_weapon,candidate,199AF3554B946B70FF642FACB9C9B059,0713,0713/PL-12AE001
467789,LD-8A,aviation_weapon,candidate,0DE9A99D4CB1A4A2445EE0A9403E1B0B,0713,0713/LD-8A
467790,LD-8B,aviation_weapon,candidate,5514250F4A8DEEF089AB49A4B8F8F8DE,0713,0713/LD-8B
467825,PL-108,aviation_weapon,candidate,3F40AC2E4D5848E6D8EF1EBA2030E15C,0713,0713/PL-108
467826,PL-10E,aviation_weapon,candidate,4CB641954EB3E08A458114B0F27FEFD0,0713,0713/PL-10E
467827,PL-12AE,aviation_weapon,candidate,22FB635C44C5E97D4504239DB50C81A1,0713,0713/PL-12AE
467828,PL-15EII001,aviation_weapon,candidate,B21312CD41EFED89DCB1F2898ECDE694,0713,0713/PL-15EII001
467829,PL-5DE,aviation_weapon,candidate,3D3B247D434FA4AD6E806E858D0C4D52,0713,0713/PL-5DE
467830,PL-90AE002,aviation_weapon,candidate,F3ABA60F424B721F5D3E75941E1BABBE,0713,0713/PL-90AE002
467840,YJ-9ER,aviation_weapon,candidate,A948519A47623B698D5422BEA5BA0104,0713,0713/YJ-9ER
467841,TL-20,aviation_weapon,candidate,1F7A53E2481B739DCCD16BA22CE8DBDD,0713,0713/TL-20
468598,PL-15EII,aviation_weapon,candidate,4701A663498FF8DA463777A69372534C,0713,0713/PL-15EII
554154,光剑21A_B,aviation_weapon,candidate,6842C2E7420F709EC2A12C9DB0D64AF9,0713,0713/光剑21A_B
554220,光剑11A,aviation_weapon,candidate,49047E304726520E8355F18F077D7FEF,0713,0713/光剑11A
555119,PLXX-3巡飞弹,aviation_weapon,candidate,EA797DFA49A0E18E567828AD1DF8B13D,0713,0713/PLXX-3巡飞弹
647731,LD-8A003,aviation_weapon,candidate,110D2C4F4884E38F72C7DCB7D2D56943,0713,0713/LD-8A003
647740,PL-10E003,aviation_weapon,candidate,6CFD8F2A414DCF23DE60E4802054D36C,0713,0713/PL-10E003
647741,PL-12AE003,aviation_weapon,candidate,B420AD2541F187283599F0ACFF82A36D,0713,0713/PL-12AE003
647742,PL-15E001,aviation_weapon,candidate,D63E2CB14548370A9828828B2E8E33E6,0713,0713/PL-15E001
648532,TY-20I,aviation_weapon,candidate,C04B07354279FF5AF5049AA3692502ED,0713,0713/TY-20I
648549,YJ-9ER001,aviation_weapon,candidate,AC9AA7394430147AF72D76870E04724A,0713,0713/YJ-9ER001
648566,YJ-9ER002,aviation_weapon,candidate,472F74564AADE796A08AF9A248BECEB0,0713,0713/YJ-9ER002
649339,LS-6-522,aviation_weapon,candidate,36BC02E646B54F712134498DD53B0B4C,0713,0713/LS-6-522
570660,光电告警设备,avionics_sensor,candidate,E6B96B364C62686E52A9BAA2B54AB686,0713,0713/光电告警设备
570673,定向对抗设备,avionics_sensor,candidate,B9B3F8184DC7E869481523B606491716,0713,0713/定向对抗设备
570688,夜视夜战吊舱,avionics_sensor,candidate,42444FBE47528BAA51C6F5A0529D03E8,0713,0713/夜视夜战吊舱
578336,某某直升机光电吊舱,avionics_sensor,candidate,306845EA4C394131EB47F29688E84057,0713,0713/某某直升机光电吊舱
612103,某光电吊舱,avionics_sensor,candidate,26ADDF414A7C1E65EFAD60BCBBFF0D8A,0713,0713/某光电吊舱
659217,eVTOL综合航电,avionics_sensor,candidate,487531864D05DC9BA06B05A071319935,0713,0713/eVTOL综合航电
211920,空中加油座舱,cockpit_simulator,candidate,65316C8B4DB0D6F7A10D1A867AAE0BE0,0713,0713/空中加油座舱
211982,先进直升机飞控系统综合展示座舱,cockpit_simulator,candidate,2DEAF5DF421B4D9D01D9A18FED62307E,0713,0713/先进直升机飞控系统综合展示座舱
359335,民用数字化屏显座舱展项,cockpit_simulator,candidate,C0AB7021482B320ECD7E98A0E92C692F,0713,0713/民用数字化屏显座舱展项
551504,J10CE_模拟器,cockpit_simulator,candidate,D1CBCEF04816D108BEFDA0B38D23572A,0713,0713/J10CE_模拟器
539595,触控显示屏01,display_control_terminal,candidate,A0EF502E430DFC88C8942FB410E948A7,0713,0713/触控显示屏01
539598,触控显示屏002,display_control_terminal,candidate,C7D1CAEA451FC3CA3CB6E48C454F9B98,0713,0713/触控显示屏002
539601,触控显示屏003,display_control_terminal,candidate,095548B941616DEE58E6E69D53975F99,0713,0713/触控显示屏003
539604,触控显示屏004,display_control_terminal,candidate,AFF1FE8A4C4D41077447B8B43936ED51,0713,0713/触控显示屏004
539607,触控显示屏005,display_control_terminal,candidate,DB4DFBE644E4F8C8F31AE39ECDC75FCA,0713,0713/触控显示屏005
539610,触控显示屏006,display_control_terminal,candidate,8ACDDB3B410DC49418D9DD8C52EE01A9,0713,0713/触控显示屏006
539613,触控显示屏007,display_control_terminal,candidate,3BD703434EEEC9E58EB1C999AE0690D7,0713,0713/触控显示屏007
539616,触控显示屏008,display_control_terminal,candidate,BECCA44741FAEB4F34E1E588E731B7EB,0713,0713/触控显示屏008
539619,触控显示屏009,display_control_terminal,candidate,9C5728D74ED737175937F59BA0BEE124,0713,0713/触控显示屏009
539622,触控显示屏010,display_control_terminal,candidate,1748D10243AEDEB5157CE6A80E890B65,0713,0713/触控显示屏010
539625,触控显示屏011,display_control_terminal,candidate,C5C518504668BD337FBE35834CEE7743,0713,0713/触控显示屏011
539628,触控显示屏012,display_control_terminal,candidate,FE3D68D846EBA6CD269AB9845977163B,0713,0713/触控显示屏012
574794,操作系统,display_control_terminal,candidate,CDF6D740418B348EB1D561941818E1F9,0713,0713/操作系统
574854,操作系统001,display_control_terminal,candidate,559E8E84436F62B872205D9FB877753F,0713,0713/操作系统001
637781,触控显示屏013,display_control_terminal,candidate,FD881E2944A492F34437B3BDD5723D67,0713,0713/触控显示屏013
673530,触控显示屏014,display_control_terminal,candidate,86EA11E4418B235C77834B8BD3753236,0713,0713/触控显示屏014
241221,919机轮组件001,aircraft_component,candidate,C66D58264A19BC2BC7EF1DA6560434DF,0713,0713/919机轮组件001
579859,4M_螺旋桨,aircraft_component,candidate,2127B1B449768542FBF2CA9C5E1F9EE8,0713,0713/4M_螺旋桨
579862,WL-2螺旋桨系统,aircraft_component,candidate,4DC99AE24D36E0A270D2A0B967FA4F51,0713,0713/WL-2螺旋桨系统
77273,Z8LLLLL002,rotorcraft,supplemental,1DA37C6F45261A13B921BABFE76DA3F9,0713,0713/Z8LLLLL002
100877,AR500C002,unmanned_new_aircraft,supplemental,EA7AC01049AADC87F64560BF95C30D37,0713,0713/AR500C002
138652,MA60灭火,fixed_wing_aircraft,supplemental,69A066AA4C585EA930E1148C61A88F43,0713,0713/MA60灭火
142505,AC_313_A002,rotorcraft,supplemental,65B8E0E142FEE500DBB878B14499EFB0,0713,0713/AC_313_A002
142580,翼龙-10H002,unmanned_new_aircraft,supplemental,627E210F4F6A80280A8747B9F4A0B886,0713,0713/翼龙-10H002
142707,新舟搜救机,fixed_wing_aircraft,supplemental,70C443EB45403BEF92552BA0BBB9C574,0713,0713/新舟搜救机
161675,AR-E800_电动垂直起降飞行器,unmanned_new_aircraft,supplemental,B2136A014926299A3322F5A68CE8A0A5,0713,0713/AR-E800_电动垂直起降飞行器
194115,翼龙-10H003,unmanned_new_aircraft,supplemental,F0CC668643471807617E69A39D9A8085,0713,0713/翼龙-10H003
419029,MA702,fixed_wing_aircraft,supplemental,826065304C730A55049C34993E3B18AE,0713,0713/MA702
533267,客舱系统,cockpit_simulator,supplemental,C009B5A1447183DB5E6693A4AE8F6549,0713,0713/客舱系统
