ext_guid,actor_label,datasmith_handle,business_category_rid,business_category_name,hierarchy_path,model_code,object_type_rid,object_type_name,datasmith_geometry_signature,assembly_signature,source_actor_count,render_part_count,mirrored_source_actor_count,ue_path
2F589D3F-4178-E012-C6E2-7395C641EB97,100-020,146326,zhhz.display_media_device,显示与媒体设备,航空展馆/显示与媒体设备,DMD-06,zhhz.display_media_device.model_4e7bb02b7b4f1e87,紧凑型数据展示LED屏（DMD-06）,4e7bb02b7b4f1e87781caaf5a274c5457939488f131c648ca01acd31c56b06f8,d6d02678fea30142ef007022de1432d6,3,2,0,0713/Group2136669597/100-020
4120A1C3-442C-7CDD-5B59-2EB9D1F7887B,100-021,146329,zhhz.display_media_device,显示与媒体设备,航空展馆/显示与媒体设备,DMD-06,zhhz.display_media_device.model_4e7bb02b7b4f1e87,紧凑型数据展示LED屏（DMD-06）,4e7bb02b7b4f1e87781caaf5a274c5457939488f131c648ca01acd31c56b06f8,60a2c4347d13c1fd52f15cec188e2512,3,2,0,0713/Group2136669597/100-021
8C3200AA-48E1-2F0C-C581-75BB2AB4282E,100-022,146332,zhhz.display_media_device,显示与媒体设备,航空展馆/显示与媒体设备,DMD-06,zhhz.display_media_device.model_4e7bb02b7b4f1e87,紧凑型数据展示LED屏（DMD-06）,4e7bb02b7b4f1e87781caaf5a274c5457939488f131c648ca01acd31c56b06f8,bfb1a0c8a61ef128929eeb8141ddcb99,3,2,0,0713/Group2136669597/100-022
58C0B4EE-49CC-A0FA-AFE4-DE9E54A2981A,Group-402577-646,312062,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-22,zhhz.exhibit_fixture.model_8ed7fb5b004bd585,大型复合展陈装置（EF-22）,8ed7fb5b004bd5858ff346f4bd2ca94622a1f646e459f0f47adecd71ccd40a82,6798ddddb5936f902df72ed3b43a3fd7,119,118,0,0713/Group-402577-646
DEBD6089-4CA8-4E5F-C37F-84980B34743A,Group-402577-647,312181,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-22,zhhz.exhibit_fixture.model_8ed7fb5b004bd585,大型复合展陈装置（EF-22）,8ed7fb5b004bd5858ff346f4bd2ca94622a1f646e459f0f47adecd71ccd40a82,68d1cf60134aae5eeafee3b68ba68f22,119,118,0,0713/Group-402577-647
7003D1BE-427F-2981-3A6F-B4ABC919C935,Group-402577-648,312300,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-22,zhhz.exhibit_fixture.model_8ed7fb5b004bd585,大型复合展陈装置（EF-22）,8ed7fb5b004bd5858ff346f4bd2ca94622a1f646e459f0f47adecd71ccd40a82,7caab3a55985ff3bd670e33e51f52043,119,118,0,0713/Group-402577-648
9A06FF31-49BA-0663-808C-F99EEC587492,Group-402577-650,312538,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-22,zhhz.exhibit_fixture.model_8ed7fb5b004bd585,大型复合展陈装置（EF-22）,8ed7fb5b004bd5858ff346f4bd2ca94622a1f646e459f0f47adecd71ccd40a82,f562f43394f4563addb76f40765ca648,119,118,0,0713/Group-402577-650
3994501D-4F60-1936-2581-A398775ED252,Group-402577-656,313252,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-12,zhhz.exhibit_fixture.model_546b466c8fa0689f,大型复合展陈装置（EF-12）,546b466c8fa0689f3a583b78581ad8a7e07b2662942e4bce1f1f0abf76e528c4,75bb790414f55370164802393f47c34c,119,118,0,0713/东南二层/Group-402577-656
D3029684-42E6-D63A-4541-F0B1256E9861,Group-402577-657,313371,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-11,zhhz.exhibit_fixture.model_52b4ef67231b1f24,大型复合展陈装置（EF-11）,52b4ef67231b1f24f5ecc0ce5e7f5e5f494820f43f862554d32b894c0618f8b4,2a73c890fc218cbe2378ce68e065a023,119,118,0,0713/东南二层/Group-402577-657
53DF8D8E-4B44-569A-8154-3395D3A79453,Group-402577-658,313490,zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-20,zhhz.exhibit_fixture.model_726121c8e520f34f,大型复合展陈装置（EF-20）,726121c8e520f34fd8061cc098a9f3d8e238612778e1e7ff54a060cbc1a11dea,b03a387397543fff9e5569b6813c9c68,119,118,0,0713/东南二层/Group-402577-658
