business_category_rid,business_category_name,hierarchy_path,model_code,object_type_rid,object_type_name,datasmith_geometry_signature,instance_count,actor_labels,datasmith_handles,render_part_counts
zhhz.display_media_device,显示与媒体设备,航空展馆/显示与媒体设备,DMD-01,zhhz.display_media_device.model_007904e7e325c5ae,数据展示LED屏-01（DMD-01）,007904e7e325c5ae19b01a017ecb6f0e61ade40a8742da91cd8c62104aa92533,1,Group2136669717,155844,6
zhhz.display_media_device,显示与媒体设备,航空展馆/显示与媒体设备,DMD-02,zhhz.display_media_device.model_00c7287cd8769399,数据展示LED屏-02（DMD-02）,00c7287cd8769399eaacc7ebc24afb44db6a0785068b9d328e91993116bec64c,1,Group2136669715,155842,6
zhhz.display_media_device,显示与媒体设备,航空展馆/显示与媒体设备,DMD-03,zhhz.display_media_device.model_291322bd2b0460c3,组合媒体展示屏-056（DMD-03）,291322bd2b0460c325b2201abb0df981036ed3f312cbc041bfddfe0fd92809ab,1,Group2136669588,146110,43
zhhz.display_media_device,显示与媒体设备,航空展馆/显示与媒体设备,DMD-04,zhhz.display_media_device.model_2ee1fc469690eb4b,独立媒体展示屏-058（DMD-04）,2ee1fc469690eb4bcdc62bf8ee9b0c2f82e0414a5b7a19412e190fdf0fff7b95,1,SMP-056,146247,5
zhhz.display_media_device,显示与媒体设备,航空展馆/显示与媒体设备,DMD-05,zhhz.display_media_device.model_3ab88f8bc986d303,数据展示LED屏-04（DMD-05）,3ab88f8bc986d303e9641425a71fd5a7af5ac0b776b796dc738691af39d0540a,1,Group2136669994,206378,6
zhhz.display_media_device,显示与媒体设备,航空展馆/显示与媒体设备,DMD-06,zhhz.display_media_device.model_4e7bb02b7b4f1e87,紧凑型数据展示LED屏（DMD-06）,4e7bb02b7b4f1e87781caaf5a274c5457939488f131c648ca01acd31c56b06f8,3,100-020|100-021|100-022,146326|146329|146332,2|2|2
zhhz.display_media_device,显示与媒体设备,航空展馆/显示与媒体设备,DMD-07,zhhz.display_media_device.model_620acb0b59b3c48a,长方形LED屏（DMD-07）,620acb0b59b3c48a02845c5ef5319524337ef48ef99450d08ccd970e35a3435c,1,组2142381026,673524,2
zhhz.display_media_device,显示与媒体设备,航空展馆/显示与媒体设备,DMD-08,zhhz.display_media_device.model_8a8df6309530810f,数据展示LED屏-03（DMD-08）,8a8df6309530810f83b33079e8a84cde80f822e4d02b128ae893249ef0b1e755,1,Group2136669713,155840,6
zhhz.display_media_device,显示与媒体设备,航空展馆/显示与媒体设备,DMD-09,zhhz.display_media_device.model_ef3dfa4e2519dec9,数据展示LED屏-05（DMD-09）,ef3dfa4e2519dec9a96dcd09c3abd0f3660e580e491be15e85d02f706cff838a,1,Group2136669708,155835,6
zhhz.display_media_device,显示与媒体设备,航空展馆/显示与媒体设备,DMD-10,zhhz.display_media_device.model_f517c63c5bc5163b,组合媒体展示屏-060（DMD-10）,f517c63c5bc5163bf160e4c15910ed0ebb3d90bfd6d27c1b3458100a8adad1be,1,Group2136669596,146293,35
zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-01,zhhz.exhibit_fixture.model_054920a28ec53d60,白色倒角展台-A（EF-01）,054920a28ec53d602c31129b996b6f12348aefad3826b2e49d00b46ee4f91e46,1,Group2136670041,243377,2
zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-02,zhhz.exhibit_fixture.model_0b4ccec734c275fb,灰黑组合展台-A（EF-02）,0b4ccec734c275fbf7b5ef1cc32e74e73d6ccf299a281add90c3e0383942dbd6,1,Group2136670507,574783,23
zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-03,zhhz.exhibit_fixture.model_0c479112746dcc7e,白灰模块展台（EF-03）,0c479112746dcc7e6fad7ea3d6a0be529ae4b20975db5a87c319e22a608466a2,1,Group2136670046,246494,30
zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-04,zhhz.exhibit_fixture.model_11faae0c2e1ae337,大型复合展陈装置（EF-04）,11faae0c2e1ae3372544fe386d70c2025d9ce5ace55ed9a5ceb51aac681bd078,1,Group-402577-666,447609,118
zhhz.exhibit_fixture,展陈装置,航空展馆/展陈装置,EF-05,zhhz.exhibit_fixture.model_1738f547ab972655,图文组合展台（EF-05）,1738f547ab97265578972b62d37105221cff19b046981dbf0b09cb84a4e1b15c,1,Group2136669995,206379,25
