ext_guid,actor_label,business_category_rid,business_category_name,hierarchy_path,model_code,object_type_rid,object_type_name,reviewed_model_signature,assembly_signature,source_actor_count,render_part_count
FB4F0EDD-4A3F-9A5A-9884-35A8CB46BC13,3d66Group001,zhhz.aircraft_model_equipment,航模设备,航空展馆/航模设备,AME-02,zhhz.aircraft_model_equipment.model_d009e8fb6095b5ee,航模设备 AME-02（3d66Group001）,d009e8fb6095b5eec3298be2a00fef84499963c3440016336f9e25d345aa557a,58f99a871a886907547e79556d5f0c09,49,48
594D7E91-438F-6DF3-D572-FFBA41ED6EFC,3d66Group001_2,zhhz.aircraft_model_equipment,航模设备,航空展馆/航模设备,AME-07,zhhz.aircraft_model_equipment.model_d41400282c3b2ce0,航模设备 AME-07（3d66Group001_2）,d41400282c3b2ce02425e86e7b4fb3a5ae143bb46121596e3e0239c80c08aafb,85905f308bf083e9d734131ebc5327df,69,68
89616A75-4CF9-5397-7342-B8B4E0E5F9AF,400T,zhhz.aircraft_model_equipment,航模设备,航空展馆/航模设备,AME-13,zhhz.aircraft_model_equipment.model_ffe19151fd044282,航模设备 AME-13（400T）,ffe19151fd0442824786bcf8ce38e75cc7dd5bfce2da2607bfa91981068976a6,f7a7b34d94a48bc58100006f544175c5,2,1
65F5EF56-43AB-B814-F5E5-E3A27EF2FD90,450,zhhz.aircraft_model_equipment,航模设备,航空展馆/航模设备,AME-10,zhhz.aircraft_model_equipment.model_734cc84dc7f4b0b3,航模设备 AME-10（450）,734cc84dc7f4b0b30839f4d3cf6a3e66e8e0ffd1471b6b6e47e1143d6c1582a2,70b766c13d583088eb26f826ccfba20a,2,1
A28D407F-42D7-B9EB-5A43-B6A613C4472C,5000T,zhhz.aircraft_model_equipment,航模设备,航空展馆/航模设备,AME-11,zhhz.aircraft_model_equipment.model_88edfba25fa5ebbb,航模设备 AME-11（5000T）,88edfba25fa5ebbb2c05d25b7254c35bb1e89fa893888aed0099ca114b7b619b,a5a32b3c775557d30636366c40ffb211,2,1
09C4505D-4FCB-6D36-9530-E5B903BCA793,580T,zhhz.aircraft_model_equipment,航模设备,航空展馆/航模设备,AME-12,zhhz.aircraft_model_equipment.model_d504e208f13289f6,航模设备 AME-12（580T）,d504e208f13289f6cdee82ba18892c4a8533d790c68a0a1b458da88ecf263ff7,8471af1352c63949ce52882fdc7c8a36,2,1
A1083FBF-4FA2-60BC-E384-2B8292742C07,CM100,zhhz.aircraft_model_equipment,航模设备,航空展馆/航模设备,AME-08,zhhz.aircraft_model_equipment.model_41ea398b3086fcb0,航模设备 AME-08（CM100）,41ea398b3086fcb088167ad31c53c58619d3cc310d3e594f8e5ef4c85c7b96ac,55ff1fd04312f4ef5cb556679afb51e9,4,3
70A83602-45A8-ABC3-4DE9-DB8B822CA82B,Group2136667786,zhhz.aircraft_model_equipment,航模设备,航空展馆/航模设备,AME-15,zhhz.aircraft_model_equipment.model_e4d1d0303f98750d,航模设备 AME-15（Group2136667786）,e4d1d0303f98750dc7214aa603108c69bd0d99f20733b9c6685ed60aaf2dd76d,ae0618c9ca697858d9060807ff298dd3,18,17
5A88380F-481A-7312-2840-A8A0BA2FA724,Group2136670272,zhhz.aircraft_model_equipment,航模设备,航空展馆/航模设备,AME-14,zhhz.aircraft_model_equipment.model_7e2c7360ce4b000b,航模设备 AME-14（0272/0331 同型）,7e2c7360ce4b000bed6fdc74ea2164e70ef5db54f070b0f6ceada72a0f179a60,847c3f627fc4a81c0e77c3288968c536,47,46
C105F5CA-4671-1D45-AE65-F99703EE5901,Group2136670331,zhhz.aircraft_model_equipment,航模设备,航空展馆/航模设备,AME-14,zhhz.aircraft_model_equipment.model_7e2c7360ce4b000b,航模设备 AME-14（0272/0331 同型）,7e2c7360ce4b000bed6fdc74ea2164e70ef5db54f070b0f6ceada72a0f179a60,9fe4fa16e84a9d209d0d3499dfa8e5ce,47,46
