business_category_rid,business_category_name,hierarchy_path,model_code,object_type_rid,object_type_name,reviewed_model_signature,instance_count,actor_labels,render_part_counts
zhhz.aircraft_model_equipment,航模设备,航空展馆/航模设备,AME-01,zhhz.aircraft_model_equipment.model_a10fe57216ee6b50,航模设备 AME-01（J35-海军型）,a10fe57216ee6b501cffb2596d6754cb8af1558760724d336efe82d52e4d3025,1,J35-海军型,57
zhhz.aircraft_model_equipment,航模设备,航空展馆/航模设备,AME-02,zhhz.aircraft_model_equipment.model_d009e8fb6095b5ee,航模设备 AME-02（3d66Group001）,d009e8fb6095b5eec3298be2a00fef84499963c3440016336f9e25d345aa557a,1,3d66Group001,48
zhhz.aircraft_model_equipment,航模设备,航空展馆/航模设备,AME-03,zhhz.aircraft_model_equipment.model_bc7ed32903d9b1f1,航模设备 AME-03（J20）,bc7ed32903d9b1f153d3abad4065c906b6791f035bc9c68e964596933af5cb5a,1,J20,42
zhhz.aircraft_model_equipment,航模设备,航空展馆/航模设备,AME-04,zhhz.aircraft_model_equipment.model_cfa6746a624f1f89,航模设备 AME-04（J307）,cfa6746a624f1f892b5b7b4f939c981dd26804b4aeabf2e846d65ed2e083972c,1,J307,36
zhhz.aircraft_model_equipment,航模设备,航空展馆/航模设备,AME-05,zhhz.aircraft_model_equipment.model_8f75148c44f1e6bd,航模设备 AME-05（J306）,8f75148c44f1e6bd94ed582d468fcf5ac5a1d0d9f32bd49943b723cb5f5b3c58,1,J306,36
zhhz.aircraft_model_equipment,航模设备,航空展馆/航模设备,AME-06,zhhz.aircraft_model_equipment.model_58d4fa1ee88e2802,航模设备 AME-06（WZ-10）,58d4fa1ee88e2802ef07beeff27cf859226f28f9b1615e6fa43a08b3226ae639,1,WZ-10,1
zhhz.aircraft_model_equipment,航模设备,航空展馆/航模设备,AME-07,zhhz.aircraft_model_equipment.model_d41400282c3b2ce0,航模设备 AME-07（3d66Group001_2）,d41400282c3b2ce02425e86e7b4fb3a5ae143bb46121596e3e0239c80c08aafb,1,3d66Group001_2,68
zhhz.aircraft_model_equipment,航模设备,航空展馆/航模设备,AME-08,zhhz.aircraft_model_equipment.model_41ea398b3086fcb0,航模设备 AME-08（CM100）,41ea398b3086fcb088167ad31c53c58619d3cc310d3e594f8e5ef4c85c7b96ac,1,CM100,3
zhhz.aircraft_model_equipment,航模设备,航空展馆/航模设备,AME-09,zhhz.aircraft_model_equipment.model_79bde7f7c5f76d43,航模设备 AME-09（LE360）,79bde7f7c5f76d43aaef764c7d6ff073426b9ae310834a5a23abcaaa24593d15,1,LE360,1
zhhz.aircraft_model_equipment,航模设备,航空展馆/航模设备,AME-10,zhhz.aircraft_model_equipment.model_734cc84dc7f4b0b3,航模设备 AME-10（450）,734cc84dc7f4b0b30839f4d3cf6a3e66e8e0ffd1471b6b6e47e1143d6c1582a2,1,450,1
zhhz.aircraft_model_equipment,航模设备,航空展馆/航模设备,AME-11,zhhz.aircraft_model_equipment.model_88edfba25fa5ebbb,航模设备 AME-11（5000T）,88edfba25fa5ebbb2c05d25b7254c35bb1e89fa893888aed0099ca114b7b619b,1,5000T,1
zhhz.aircraft_model_equipment,航模设备,航空展馆/航模设备,AME-12,zhhz.aircraft_model_equipment.model_d504e208f13289f6,航模设备 AME-12（580T）,d504e208f13289f6cdee82ba18892c4a8533d790c68a0a1b458da88ecf263ff7,1,580T,1
zhhz.aircraft_model_equipment,航模设备,航空展馆/航模设备,AME-13,zhhz.aircraft_model_equipment.model_ffe19151fd044282,航模设备 AME-13（400T）,ffe19151fd0442824786bcf8ce38e75cc7dd5bfce2da2607bfa91981068976a6,1,400T,1
zhhz.aircraft_model_equipment,航模设备,航空展馆/航模设备,AME-14,zhhz.aircraft_model_equipment.model_7e2c7360ce4b000b,航模设备 AME-14（0272/0331 同型）,7e2c7360ce4b000bed6fdc74ea2164e70ef5db54f070b0f6ceada72a0f179a60,2,Group2136670272|Group2136670331,46|46
zhhz.aircraft_model_equipment,航模设备,航空展馆/航模设备,AME-15,zhhz.aircraft_model_equipment.model_e4d1d0303f98750d,航模设备 AME-15（Group2136667786）,e4d1d0303f98750dc7214aa603108c69bd0d99f20733b9c6685ed60aaf2dd76d,1,Group2136667786,17
zhhz.display_media_device,LED屏幕,航空展馆/显示与媒体设备/LED屏幕,LED-01,zhhz.display_media_device.model_6ec7712d009c4ccf,LED屏幕 LED-01（Group2136670506）,6ec7712d009c4ccf35ad98dc6c0504882d8c0fc98feda48662041fca2ba96493,1,Group2136670506,3
zhhz.display_media_device,LED屏幕,航空展馆/显示与媒体设备/LED屏幕,LED-02,zhhz.display_media_device.model_dba0a37cd0a239f9,LED屏幕 LED-02（Rectangle2133395720）,dba0a37cd0a239f9c7e1f736c3aff3fe4638c7aa1f80ab1ed989bb42b5fd1373,1,Rectangle2133395720,1
zhhz.display_media_device,LED屏幕,航空展馆/显示与媒体设备/LED屏幕,LED-03,zhhz.display_media_device.model_8cf8dc7346e2a138,LED屏幕 LED-03（Group2136670526）,8cf8dc7346e2a1389ce20aa0bf23c88fdd16125689ac0dba29bcd4a2eb8bf05b,1,Group2136670526,3
zhhz.display_media_device,LED屏幕,航空展馆/显示与媒体设备/LED屏幕,LED-04,zhhz.display_media_device.model_56714c240da8f421,LED屏幕 LED-04（主屏幕）,56714c240da8f4212d44f2c5b49935e7f0c492c1a39be93fc29bd16ffced0da7,1,主屏幕,4
zhhz.display_media_device,LED屏幕,航空展馆/显示与媒体设备/LED屏幕,LED-05,zhhz.display_media_device.model_f40e11059cd3c75e,LED屏幕 LED-05（Group2136670533）,f40e11059cd3c75e5b04d7fb7eb9d40fb52ce26b3d3b6e1cb6366ecd8147f2e2,1,Group2136670533,3
